step,predator_0,prey_0
1,1,20
2,1,20
3,1,20
4,1,20
5,1,20
6,1,20
7,1,20
8,1,20
9,1,20
10,1,20
11,1,20
12,1,20
13,1,20
14,1,20
15,1,20
16,1,20
17,1,20
18,1,20
19,1,21
20,1,21
21,1,21
22,1,21
23,1,21
24,1,21
25,1,21
26,1,21
27,1,21
28,1,21
29,1,22
30,1,22
31,1,22
32,1,22
33,1,22
34,1,22
35,1,22
36,1,22
37,1,22
38,1,22
39,1,23
40,1,23
41,1,24
42,1,24
43,1,24
44,1,24
45,1,24
46,1,25
47,1,25
48,1,25
49,1,27
50,1,28
51,1,29
52,1,29
53,1,29
54,1,29
55,1,18
